blocklist,word
competitors,Aegon
competitors,AIA Group
competitors,Alleghany
competitors,Allianz
competitors,Allied World Assurance
competitors,Allstate
competitors,AmTrust Financial Services
competitors,Arch Capital Group
competitors,Argo Group International Holdings
competitors,Aspen Insurance Holdings
competitors,Assicurazioni Generali
competitors,Assurant
competitors,Aviva
competitors,AXA
competitors,Axis Capital Holdings
competitors,Baldwin & Lyons
competitors,China Life Insurance
competitors,China Pacific Insurance
competitors,Chubb
competitors,Cincinnati Financial
competitors,CNA Financial
competitors,Endurance Specialty Holdings
competitors,Everest Re Group
competitors,Fairfax Financial Holdings
competitors,Fidelity National Financial
competitors,First American Financial
competitors,Hanover Insurance Group
competitors,HCC Insurance Holdings
competitors,Legal & General Group
competitors,Liberty Mutual
competitors,Manulife Financial
competitors,Markel
competitors,Marsh & McLennan
competitors,MetLife
competitors,Munich Re
competitors,New York Life Insurance
competitors,Old Republic International
competitors,PartnerRe
competitors,Ping An Insurance
competitors,Progressive
competitors,Prudential Financial
competitors,RenaissanceRe Holdings
competitors,RSA Insurance Group
competitors,Selective Insurance Group
competitors,St. Paul Travelers
competitors,State Farm Insurance
competitors,Swiss Re
competitors,The Hartford
competitors,Torchmark
competitors,Travelers
competitors,Validus Holdings
competitors,Willis Group Holdings
competitors,Zurich Insurance Group
